date,rank_ic,n,split
2014-09-26,-0.10750279341865478,408,discovery
2014-09-29,-0.10750297010546607,408,discovery
2014-09-30,0.005130098483726944,409,discovery
2014-10-01,-0.004697153109961245,410,discovery
2014-10-02,-0.20342659334431332,408,discovery
2014-10-03,-0.2661330960551403,408,discovery
2014-10-06,-0.255819320340784,409,discovery
2014-10-07,-0.2776098015586516,410,discovery
2014-10-08,-0.22820607578595795,410,discovery
2014-10-09,-0.06590352619485741,410,discovery
2014-10-10,0.1756891965481134,410,discovery
2014-10-13,0.2500677955334043,410,discovery
2014-10-14,0.28849364791331666,411,discovery
2014-10-15,0.2998949658937516,410,discovery
2014-10-16,0.18649138637649285,410,discovery
2014-10-17,0.1131440630049653,410,discovery
2014-10-20,0.020342664523357503,410,discovery
2014-10-21,0.02704312505405474,411,discovery
2014-10-22,0.051117440145218684,410,discovery
2014-10-23,0.1143807928183303,410,discovery
2014-10-24,0.1695542993252616,410,discovery
2014-10-27,0.11626191754078498,410,discovery
2014-10-28,0.07522017769187961,410,discovery
2014-10-29,0.12603355853014622,412,discovery
2014-10-30,0.012829833203718066,411,discovery
2014-10-31,0.049483536427349005,411,discovery
2014-11-03,0.09773482392111095,410,discovery
2014-11-04,0.026686149992923548,410,discovery
2014-11-05,0.09755630455463539,411,discovery
2014-11-06,0.12580243712748893,411,discovery
2014-11-07,0.042784879441542835,410,discovery
2014-11-10,0.06740986941928652,409,discovery
2014-11-11,0.0360088954704424,410,discovery
2014-11-12,-0.12179890822005023,410,discovery
2014-11-13,-0.13946002938401267,411,discovery
2014-11-14,-0.0713276911780702,410,discovery
2014-11-17,-0.059478555500364606,410,discovery
2014-11-18,0.05462510679363473,412,discovery
2014-11-19,0.10848638838491703,411,discovery
2014-11-20,0.09905038458229297,411,discovery
2014-11-21,0.08403301356852928,411,discovery
2014-11-24,0.027071644628853853,411,discovery
2014-11-25,0.030432807468404096,411,discovery
2014-11-26,0.007726384927848376,411,discovery
2014-11-28,0.14043505921872243,411,discovery
2014-12-01,0.08114283027971918,410,discovery
2014-12-02,0.1146353470893622,410,discovery
2014-12-03,0.07932728372667629,411,discovery
2014-12-04,0.06846184426593928,411,discovery
2014-12-05,0.07870043633725866,412,discovery
2014-12-08,0.039182640513102905,410,discovery
2014-12-09,0.08132261688716669,411,discovery
2014-12-10,0.0651918131491687,412,discovery
2014-12-11,0.011910638665647382,411,discovery
2014-12-12,-0.02776606673530937,412,discovery
2014-12-15,-0.09362759708468023,412,discovery
2014-12-16,-0.12099900597718537,412,discovery
2014-12-17,-0.15365223403358877,411,discovery
2014-12-18,-0.0505314754215561,412,discovery
2014-12-19,-0.13624213252604103,413,discovery
2014-12-22,-0.054471278366806986,412,discovery
2014-12-23,-0.09040890499106197,412,discovery
2014-12-24,0.04498842022418727,412,discovery
2014-12-26,0.05743335473073658,412,discovery
2014-12-29,0.13566946753641776,412,discovery
2014-12-30,0.20826027894790877,414,discovery
2014-12-31,0.19364396192053301,414,discovery
2015-01-02,0.08271928933987566,413,discovery
2015-01-05,0.07549375556929097,412,discovery
2015-01-06,0.05259450639722368,412,discovery
2015-01-07,0.07108662859773263,412,discovery
2015-01-08,0.1551569474645426,413,discovery
2015-01-09,0.23253123246780846,414,discovery
2015-01-12,0.23378620639407371,413,discovery
2015-01-13,0.19232205386671203,413,discovery
2015-01-14,0.16543024893406885,414,discovery
2015-01-15,0.061167746953682246,411,discovery
2015-01-16,0.013842904674544972,413,discovery
2015-01-20,0.145056906104287,413,discovery
2015-01-21,0.14613095376529142,414,discovery
2015-01-22,-0.00877576412535266,413,discovery
2015-01-23,-0.11750834315276504,412,discovery
2015-01-26,-0.1897075687880795,413,discovery
2015-01-27,-0.23373254710297592,413,discovery
2015-01-28,-0.23519651300955566,412,discovery
2015-01-29,-0.20276985567396982,411,discovery
2015-01-30,-0.19924782616753545,415,discovery
2015-02-02,-0.030962194870150946,415,discovery
2015-02-03,-0.11704714686042687,415,discovery
2015-02-04,-0.11308857428472392,413,discovery
2015-02-05,-0.10162651088886011,414,discovery
2015-02-06,0.028194278800491517,411,discovery
2015-02-09,0.006279692640481269,412,discovery
2015-02-10,-0.08908662962730131,412,discovery
2015-02-11,-0.029900822484147455,412,discovery
2015-02-12,0.23135894247274433,413,discovery
2015-02-13,0.17940020640576093,414,discovery
2015-02-17,0.007371178961384659,412,discovery
2015-02-18,0.00315434570620453,412,discovery
2015-02-19,-0.011152785547507892,413,discovery
2015-02-20,-0.07423239478561532,412,discovery
2015-02-23,-0.09047501589350225,413,discovery
2015-02-24,0.06390617153402618,413,discovery
2015-02-25,0.0401746625194476,414,discovery
2015-02-26,0.06076278714240226,414,discovery
2015-02-27,0.039892239584337255,414,discovery
2015-03-02,0.113926452501741,414,discovery
2015-03-03,0.10443518161120308,414,discovery
2015-03-04,0.16429811904380404,412,discovery
2015-03-05,0.29487381719633987,413,discovery
2015-03-06,0.29633232783246516,413,discovery
2015-03-09,0.23213928745075424,412,discovery
2015-03-10,0.1336038627052536,412,discovery
2015-03-11,0.22561001028677474,414,discovery
2015-03-12,0.07797103829206466,413,discovery
2015-03-13,-0.06449361194813807,412,discovery
2015-03-16,-0.048560086959274974,414,discovery
