signal,horizon,split,mean_rank_ic,rank_ic_ir,rank_ic_ir_raw,t_stat_nonoverlap,n_dates,n_nonoverlap
idio_vol_60d,60,discovery,0.023047273868273786,0.2971572829509267,2.694317763546414,1.113750057167057,3526,59
beta_60d,60,discovery,0.021553010234795077,0.19970368569076516,2.152782789389592,0.7484924789573675,3526,59
amihud_20d,60,discovery,0.06379524233640167,1.376978586093067,10.761291300306137,5.16093687396246,3526,59
volume_z_20d,60,discovery,0.005552313635947919,0.5137338865332258,1.4351809108690567,1.9254824912372825,3526,59
rsi_14d,60,discovery,-0.013688545087882854,-0.07054163182112902,-2.110926401800062,-0.26439111870992477,3526,59
sma_gap_20d,60,discovery,-0.014832114545037743,-0.14422175285069863,-2.1494375742802747,-0.5405453431431517,3526,59
ret_1d,60,test,0.0010360868817460862,0.2884560648043604,0.14311796690935932,0.5971607870946172,1056,18
ret_5d,60,test,0.0006135201788137891,0.5690145913521724,0.08425123944955673,1.1779721167187294,1056,18
mom_20d_skip_5d,60,test,-0.007374145253617888,0.591982894021185,-0.9460481569024398,1.225521020616833,1056,18
mom_60d_skip_20d,60,test,-0.009423868273776032,0.09790194714435241,-1.1235199247815422,0.20267628574477964,1056,18
mom_252d_skip_21d,60,test,0.03921116376877721,0.5380077933540659,4.8328159238647235,1.1137819465222434,1056,18
vol_20d,60,test,0.03154920802954131,0.1607718149055151,2.9814421045622197,0.3328292771291596,1056,18
idio_vol_60d,60,test,0.018684916472518808,0.265847458760274,2.065892131996012,0.5503565259722308,1056,18
beta_60d,60,test,0.03526549849066157,0.22571004786530513,3.0373728330475447,0.4672641912770948,1056,18
amihud_20d,60,test,0.012691690235740821,0.1639957494212945,2.256633568848924,0.3395034556442928,1056,18
volume_z_20d,60,test,0.0019479843387993862,-0.9332421603772794,0.5005185285712926,-1.9319948201046109,1056,18
rsi_14d,60,test,-0.003163060573992899,0.8860336927761171,-0.45618154461658567,1.8342640073433059,1056,18
sma_gap_20d,60,test,-0.003883869618228791,0.6163350141093346,-0.4931630235379009,1.275934698723958,1056,18
ret_1d,90,discovery,-0.005745533679893666,-0.14094862778522152,-0.9309157209431346,-0.5327357381916868,3526,40
ret_5d,90,discovery,-0.011276062611043414,0.2717469780289841,-1.7631098285721025,1.0271070333788483,3526,40
mom_20d_skip_5d,90,discovery,-0.009994835222398798,-0.3946363445691289,-1.4521148759757971,-1.491585179979352,3526,40
mom_60d_skip_20d,90,discovery,-0.009329559024975342,0.1427704946481739,-1.260518688275142,0.5396217476864302,3526,40
mom_252d_skip_21d,90,discovery,-0.015600859275608898,-0.21001716139004606,-1.6290742487563863,-0.7937902572502255,3526,40
vol_20d,90,discovery,0.02425710108523911,0.17539661234178466,2.5526002542406694,0.662936881490048,3526,40
idio_vol_60d,90,discovery,0.026066287846932653,0.28303209829278353,2.9637315268497617,1.0697607787167385,3526,40
beta_60d,90,discovery,0.022091117714513487,0.09380075332562639,2.152779583845289,0.3545335229741962,3526,40
amihud_20d,90,discovery,0.07641400653597206,1.3384565104216894,12.799643141456034,5.058890095790514,3526,40
volume_z_20d,90,discovery,0.006526270703679751,0.37567423610736783,1.6957036185215693,1.4199151466104798,3526,40
rsi_14d,90,discovery,-0.01641100434793761,-0.07281369208503588,-2.556101802579452,-0.27520988755370335,3526,40
sma_gap_20d,90,discovery,-0.015568866698709324,-0.0002926683731468617,-2.274109483368312,-0.001106182474176942,3526,40
